Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Discount tier 1 (min qty) (product.metafields.custom.discount_tier1_qty),Discount tier 2 (min qty) (product.metafields.custom.discount_tier2_qty),Bought together products (product.metafields.globo--filter--product_recommendation.bought_together_products),Complementary products (product.metafields.globo--filter--product_recommendation.complementary_products),Related products (product.metafields.globo--filter--product_recommendation.related_products),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Material (product.metafields.shopify.material),Scent (product.metafields.shopify.scent),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
uro-lite-blue-fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/ULT-3B-V3.jpg?v=1771490137,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uro-lite-blue-fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/ULT-3B-V2.jpg?v=1771490130,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uro-lite-blue-fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/ULT-3B-V4.jpg?v=1771490136,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uro-lite-blue-fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/ULT-3B-V5.jpg?v=1771490141,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uro-lite-green-apple,"üro lite green / apple, pack of 2","<p class=""s5""><span class=""s4"">üro lite</span><span class=""s4""> is a flexible fragranced urinal screen specifically designed for smaller urinals. It features the most advanced patented bristle system (Sealed Bristles Technology™), designed to deliver a cleaner, more comfortable experience by minimizing urine splashback and unpleasant odors. Manufactured from a proprietary material infused with a deodorant-based fragrance, it gradually releases scent for up to 30 days, making it an ideal choice for monthly urinal maintenance.</span></p>
<p class=""s5""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic, </span><span class=""s4"">üro lite</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, </span><span class=""s4"">ensuring</span><span class=""s4""> 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in ane co-friendly cellophane bag, ensuring minimal environmental impact.</span></p>
<p class=""s3""><strong><span class=""s2"">üro lite</span><span class=""s2""> delivers superior anti-splash protection in a compact, cost-effective, and environmentally responsible design.</span></strong></p>
<p class=""s3""><span><img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Products-Section-Desktop.webp?v=1773612275"" alt=""""> </span><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s9""><span class=""s4"">Patented anti-splash bristles to help protect users from unwanted splashback and keep surrounding area cleaner</span></li>
<li class=""s9"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance releasing gradually for up to 30 days</span>
</li>
<li class=""s9"">
<span class=""s4"">Compact d</span><span class=""s4"">imensions </span><span class=""s4"">specially </span><span class=""s4"">designed for </span><span class=""s4"">smaller urinals</span>
</li>
<li class=""s9"">
<span class=""s4"">Ideal for monthly </span><span class=""s4"">urinal </span><span class=""s4"">maintenance</span>
</li>
<li class=""s9""><span class=""s4"">Suitable for waterless urinals</span></li>
<li class=""s9""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s9""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s9"">
<span class=""s4"">Non-toxic to the environment</span><span class=""s4"">, particularly</span><span class=""s4""> water sources</span>
</li>
<li class=""s9""><span class=""s4"">Unique design, wide range of colors, and pleasant fragrances</span></li>
<li class=""s9""><span class=""s4"">Option for private branding through material cutouts and printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,ULT-2G,38.0,shopify,390,deny,manual,7.98,,true,true,2.0,item,1,item,ULT-2G,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/ULT-2G-V1.jpg?v=1771490136,1,"",false,,,1746,,,,new,,,,,,,,,,,,,,green-apple,,apple,,,,,,g,,,active
uro-lite-green-apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/ULT-2G-V3.jpg?v=1771490135,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uro-lite-green-apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/ULT-2G-V2.jpg?v=1771490129,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uro-lite-green-apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/ULT-2G-V4.jpg?v=1771490136,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uro-lite-green-apple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/ULT-2G-V5.jpg?v=1771490140,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uro-lite-purple-berry,"üro lite purple / berry, pack of 2","<p class=""s5""><span class=""s4"">üro lite</span><span class=""s4""> is a flexible fragranced urinal screen specifically designed for smaller urinals. It features the most advanced patented bristle system (Sealed Bristles Technology™), designed to deliver a cleaner, more comfortable experience by minimizing urine splashback and unpleasant odors. Manufactured from a proprietary material infused with a deodorant-based fragrance, it gradually releases scent for up to 30 days, making it an ideal choice for monthly urinal maintenance.</span></p>
<p class=""s5""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic, </span><span class=""s4"">üro lite</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, </span><span class=""s4"">ensuring</span><span class=""s4""> 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in ane co-friendly cellophane bag, ensuring minimal environmental impact.</span></p>
<p class=""s3""><strong><span class=""s2"">üro lite</span><span class=""s2""> delivers superior anti-splash protection in a compact, cost-effective, and environmentally responsible design.</span></strong></p>
<p class=""s3""><span><img src=""https://cdn.shopify.com/s/files/1/0989/0542/4215/files/Products-Section-Desktop.webp?v=1773612275"" alt=""""> </span><span class=""s2"">Key benefits:</span></p>
<ul>
<li class=""s9""><span class=""s4"">Patented anti-splash bristles to help protect users from unwanted splashback and keep surrounding area cleaner</span></li>
<li class=""s9"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance releasing gradually for up to 30 days</span>
</li>
<li class=""s9"">
<span class=""s4"">Compact d</span><span class=""s4"">imensions </span><span class=""s4"">specially </span><span class=""s4"">designed for </span><span class=""s4"">smaller urinals</span>
</li>
<li class=""s9"">
<span class=""s4"">Ideal for monthly </span><span class=""s4"">urinal </span><span class=""s4"">maintenance</span>
</li>
<li class=""s9""><span class=""s4"">Suitable for waterless urinals</span></li>
<li class=""s9""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s9""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s9"">
<span class=""s4"">Non-toxic to the environment</span><span class=""s4"">, particularly</span><span class=""s4""> water sources</span>
</li>
<li class=""s9""><span class=""s4"">Unique design, wide range of colors, and pleasant fragrances</span></li>
<li class=""s9""><span class=""s4"">Option for private branding through material cutouts and printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,ULT-1P,38.0,shopify,275,deny,manual,7.98,,true,true,2.0,item,1,item,ULT-1P,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/ULT-1P-V1.jpg?v=1771490139,1,"",false,,,1746,,,,new,,,,,,,,,,,,,,purple-berry,,berry,,,,,,g,,,active
uro-lite-purple-berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/ULT-1P-V3.jpg?v=1771490138,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uro-lite-purple-berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/ULT-1P-V2.jpg?v=1771490133,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uro-lite-purple-berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/ULT-1P-V4.jpg?v=1771490136,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uro-lite-purple-berry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/ULT-1P-V5.jpg?v=1771490142,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-yellow-citrus,"powër screen yellow / citrus, pack of 2","<p class=""s13""><span class=""s4"">powër screen</span><span class=""s4""> is a fragranced urinal screen designed to minimize urine splashes with its <meta charset=""utf-8"">patented bristle system (Sealed Bristles Technology™), designed to deliver a cleaner, more comfortable experience by minimizing urine splashback and unpleasant odors. </span><span class=""s4"">Manufactured </span><span class=""s4"">from a proprietary material infused with a deodorant-based fragrance, it ensures a gradual release for up to 30 days, making it ideal for monthly urinal maintenance.</span></p>
<p class=""s13""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic</span><span class=""s4"">, </span><span class=""s4"">powër screen</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, </span><span class=""s4"">ensuring</span><span class=""s4""> 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in a</span><span class=""s4"">n eco-friendly</span><span class=""s4""> cell</span><span class=""s4"">ophane</span><span class=""s4""> bag, ensuring an environmentally responsible solution.</span></p>
<p class=""s14""><strong><span class=""s2"">powër screen</span><span class=""s2""> delivers effective odor control, hygiene protection, and an eco-conscious design for restroom maintenance.</span></strong></p>
<p class=""s14""><span> </span></p>
<p class=""s14""><span class=""s2"">Key b</span><span class=""s2"">enefits:</span></p>
<ul>
<li class=""s15""><span class=""s4"">Patented anti-splash bristles to help protect users from unwanted splashback and keep surrounding area cleaner</span></li>
<li class=""s15"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance that releases gradually for up to 30 days</span>
</li>
<li class=""s15""><span class=""s4"">Ideal for monthly urinal maintenance</span></li>
<li class=""s15""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s15""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s15"">
<span class=""s4"">Non-toxic to the environment</span><span class=""s4"">, particularly </span><span class=""s4"">water sources</span>
</li>
<li class=""s15""><span class=""s4"">Suitable for waterless urinals</span></li>
<li class=""s15""><span class=""s4"">Flexible shape fits almost all types of urinals</span></li>
<li class=""s15""><span class=""s4"">Design that enhances any restroom</span></li>
<li class=""s9""><span class=""s4"">Unique design, wide range of colors, and pleasant fragrances</span></li>
<li class=""s15""><span class=""s4"">Option for private branding through material cutouts and printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,PWR-13C,140.0,shopify,1158,deny,manual,9.98,,true,true,2.0,item,1,item,PWR-13C,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-13C-V1.jpg?v=1775132714,1,"",false,,,1746,,,,new,,,,,,,5,10,,,,,,yellow-citrus,,citrus,,,,,,g,,,active
power-screen-yellow-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-13C-V5.jpg?v=1775132710,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-yellow-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-13C-V3.jpg?v=1775132711,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-yellow-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-13C-V4.jpg?v=1775132711,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-yellow-citrus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-13C-V2.jpg?v=1775132703,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-purple-lavender,"powër screen purple / lavender, pack of 2","<p class=""s13""><span class=""s4"">powër screen</span><span class=""s4""> is a fragranced urinal screen designed to minimize urine splashes with its <meta charset=""utf-8"">patented bristle system (Sealed Bristles Technology™), designed to deliver a cleaner, more comfortable experience by minimizing urine splashback and unpleasant odors. </span><span class=""s4"">Manufactured </span><span class=""s4"">from a proprietary material infused with a deodorant-based fragrance, it ensures a gradual release for up to 30 days, making it ideal for monthly urinal maintenance.</span></p>
<p class=""s13""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic</span><span class=""s4"">, </span><span class=""s4"">powër screen</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, </span><span class=""s4"">ensuring</span><span class=""s4""> 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in a</span><span class=""s4"">n eco-friendly</span><span class=""s4""> cell</span><span class=""s4"">ophane</span><span class=""s4""> bag, ensuring an environmentally responsible solution.</span></p>
<p class=""s14""><strong><span class=""s2"">powër screen</span><span class=""s2""> delivers effective odor control, hygiene protection, and an eco-conscious design for restroom maintenance.</span></strong></p>
<p class=""s14""><span> </span></p>
<p class=""s14""><span class=""s2"">Key b</span><span class=""s2"">enefits:</span></p>
<ul>
<li class=""s15""><span class=""s4"">Patented anti-splash bristles to help protect users from unwanted splashback and keep surrounding area cleaner</span></li>
<li class=""s15"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance that releases gradually for up to 30 days</span>
</li>
<li class=""s15""><span class=""s4"">Ideal for monthly urinal maintenance</span></li>
<li class=""s15""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s15""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s15"">
<span class=""s4"">Non-toxic to the environment</span><span class=""s4"">, particularly </span><span class=""s4"">water sources</span>
</li>
<li class=""s15""><span class=""s4"">Suitable for waterless urinals</span></li>
<li class=""s15""><span class=""s4"">Flexible shape fits almost all types of urinals</span></li>
<li class=""s15""><span class=""s4"">Design that enhances any restroom</span></li>
<li class=""s9""><span class=""s4"">Unique design, wide range of colors, and pleasant fragrances</span></li>
<li class=""s15""><span class=""s4"">Option for private branding through material cutouts and printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,PWR-12P,140.0,shopify,370,deny,manual,9.98,,true,true,2.0,item,1,item,PWR-12P,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-12P-V1.jpg?v=1775132713,1,"",false,,,1746,,,,new,,,,,,,5,10,,,,,,purple-lavender,,lavender,,,,,,g,,,active
power-screen-purple-lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-12P-V5.jpg?v=1775132708,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-purple-lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-12P-V3.jpg?v=1775132714,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-purple-lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-12P-V4.jpg?v=1775132712,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-purple-lavender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-12P-V2.jpg?v=1775132707,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-red-melon,"powër screen red / melon, pack of 2","<p class=""s13""><span class=""s4"">powër screen</span><span class=""s4""> is a fragranced urinal screen designed to minimize urine splashes with its <meta charset=""utf-8"">patented bristle system (Sealed Bristles Technology™), designed to deliver a cleaner, more comfortable experience by minimizing urine splashback and unpleasant odors. </span><span class=""s4"">Manufactured </span><span class=""s4"">from a proprietary material infused with a deodorant-based fragrance, it ensures a gradual release for up to 30 days, making it ideal for monthly urinal maintenance.</span></p>
<p class=""s13""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic</span><span class=""s4"">, </span><span class=""s4"">powër screen</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, </span><span class=""s4"">ensuring</span><span class=""s4""> 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in a</span><span class=""s4"">n eco-friendly</span><span class=""s4""> cell</span><span class=""s4"">ophane</span><span class=""s4""> bag, ensuring an environmentally responsible solution.</span></p>
<p class=""s14""><strong><span class=""s2"">powër screen</span><span class=""s2""> delivers effective odor control, hygiene protection, and an eco-conscious design for restroom maintenance.</span></strong></p>
<p class=""s14""><span> </span></p>
<p class=""s14""><span class=""s2"">Key b</span><span class=""s2"">enefits:</span></p>
<ul>
<li class=""s15""><span class=""s4"">Patented anti-splash bristles to help protect users from unwanted splashback and keep surrounding area cleaner</span></li>
<li class=""s15"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance that releases gradually for up to 30 days</span>
</li>
<li class=""s15""><span class=""s4"">Ideal for monthly urinal maintenance</span></li>
<li class=""s15""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s15""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s15"">
<span class=""s4"">Non-toxic to the environment</span><span class=""s4"">, particularly </span><span class=""s4"">water sources</span>
</li>
<li class=""s15""><span class=""s4"">Suitable for waterless urinals</span></li>
<li class=""s15""><span class=""s4"">Flexible shape fits almost all types of urinals</span></li>
<li class=""s15""><span class=""s4"">Design that enhances any restroom</span></li>
<li class=""s9""><span class=""s4"">Unique design, wide range of colors, and pleasant fragrances</span></li>
<li class=""s15""><span class=""s4"">Option for private branding through material cutouts and printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,PWR-10R,140.0,shopify,1508,deny,manual,9.98,,true,true,2.0,item,1,item,PWR-10R,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-10R-V1.jpg?v=1775132714,1,"",false,,,1746,,,,new,,,,,,,5,10,,,,,,red-melon,,melon,,,,,,g,,,active
power-screen-red-melon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-10R-V5.jpg?v=1775132710,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-red-melon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-10R-V3.jpg?v=1775132714,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-red-melon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-10R-V4.jpg?v=1775132710,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-red-melon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-10R-V2.jpg?v=1775132706,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-green-pine,"powër screen green / pine, pack of 2","<p class=""s13""><span class=""s4"">powër screen</span><span class=""s4""> is a fragranced urinal screen designed to minimize urine splashes with its <meta charset=""utf-8"">patented bristle system (Sealed Bristles Technology™), designed to deliver a cleaner, more comfortable experience by minimizing urine splashback and unpleasant odors. </span><span class=""s4"">Manufactured </span><span class=""s4"">from a proprietary material infused with a deodorant-based fragrance, it ensures a gradual release for up to 30 days, making it ideal for monthly urinal maintenance.</span></p>
<p class=""s13""><span class=""s4"">Manufactured with recycled and 100% recyclable EVA plastic</span><span class=""s4"">, </span><span class=""s4"">powër screen</span><span class=""s4""> is also biodegradable with the </span><span class=""s4"">Eco-One™ </span><span class=""s4"">additive, </span><span class=""s4"">ensuring</span><span class=""s4""> 93% decomposition within 3.5 years (99% within 5 years) in bioactive landfills. Additionally, it is packaged in a</span><span class=""s4"">n eco-friendly</span><span class=""s4""> cell</span><span class=""s4"">ophane</span><span class=""s4""> bag, ensuring an environmentally responsible solution.</span></p>
<p class=""s14""><strong><span class=""s2"">powër screen</span><span class=""s2""> delivers effective odor control, hygiene protection, and an eco-conscious design for restroom maintenance.</span></strong></p>
<p class=""s14""><span> </span></p>
<p class=""s14""><span class=""s2"">Key b</span><span class=""s2"">enefits:</span></p>
<ul>
<li class=""s15""><span class=""s4"">Patented anti-splash bristles to help protect users from unwanted splashback and keep surrounding area cleaner</span></li>
<li class=""s15"">
<span class=""s4"">Proprietary</span><span class=""s4""> material infused with a deodorant-based fragrance that releases gradually for up to 30 days</span>
</li>
<li class=""s15""><span class=""s4"">Ideal for monthly urinal maintenance</span></li>
<li class=""s15""><span class=""s4"">100% recyclable and also biodegradable</span></li>
<li class=""s9""><span class=""s4"">Packaged in an eco-friendly cellophane bag</span></li>
<li class=""s15""><span class=""s4"">Complies with European VOC standards</span></li>
<li class=""s15"">
<span class=""s4"">Non-toxic to the environment</span><span class=""s4"">, particularly </span><span class=""s4"">water sources</span>
</li>
<li class=""s15""><span class=""s4"">Suitable for waterless urinals</span></li>
<li class=""s15""><span class=""s4"">Flexible shape fits almost all types of urinals</span></li>
<li class=""s15""><span class=""s4"">Design that enhances any restroom</span></li>
<li class=""s9""><span class=""s4"">Unique design, wide range of colors, and pleasant fragrances</span></li>
<li class=""s15""><span class=""s4"">Option for private branding through material cutouts and printing</span></li>
</ul>",Ekcos Europe OÜ,Home & Garden > Decor > Home Fragrances > Air Fresheners,"","",true,Title,Default Title,,,,,,,,PWR-9G,140.0,shopify,601,deny,manual,9.98,,true,true,2.0,item,1,item,PWR-9G,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-9G-V1.jpg?v=1775132714,1,"",false,,,1746,,,,new,,,,,,,5,10,,,,,,green-pine,,pine,,,,,,g,,,active
power-screen-green-pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-9G-V5.jpg?v=1775132714,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-green-pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-9G-V3.jpg?v=1775132742,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-green-pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-9G-V4.jpg?v=1775132712,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
power-screen-green-pine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0989/0542/4215/files/PWR-9G-V2.jpg?v=1775132707,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
